"Card Title","ID","Owner","Created Date","Updated Date","Images","Card Database (All)","Sets","Stars","Card Type","Planet","Rarities","Card Ability","Banlist?","Power","Health"
"Tribite","000bf6fe-f6e8-448c-8bfe-86e518993783","06e28ee6-acd0-4dac-8442-edbf9a4ecdc5",2022-11-02T04:46:51Z,2022-11-02T08:01:19Z,"wix:image://v1/06e28e_85dfb8ed5ece430d9580d6c5448830cf~mv2.jpg/037-Tribite.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""V - Beyond Horizons""]",3,"Creature","Gaios","{""V - Beyond Horizons"":""Common""}","After this creature is killed by an attack, free play it to any empty zone on your opponent's planet as a resource card (it is also treated as a zoned Gaios creature), then kill it after 3 of your turns have finished.",,130,100
"Pointy Bogibooga","004c3b57-00ed-4e21-b667-deb96e3284a3","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-23T20:46:58Z,"wix:image://v1/c3c13c_e34119298c16400186ecd08502632a5c~mv2.jpg/2%2016%20-%20Pointy%20Bogibooga.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries"",""Legends of the Cosmos""]",2,"Creature","Sindell","{""II - Deep Space Discoveries"":""Common"",""Legends of the Cosmos"":""Common""}",,,20,180
"Angel Squoz","00adedb3-a8fd-4897-a144-d6764937ade1","e6d5323f-c6e3-4cbc-a736-057743ef2f24",2024-02-22T04:17:51Z,2024-02-22T04:46:52Z,"wix:image://v1/e6d532_3f4f5c5796ee4d36b28bd56aa94fa3ff~mv2.jpg/037%20-%20Angel%20Squoz.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""Sindian Planetary Collection""]",2,"Creature","Sindian",,"After this creature is killed by an opponent's attack, add 1 galaxied creature to your hand that comes from your planet card and has 120 or less power.",,100,50
"The Magical Zamelion Tree","01499115-f83c-4cf9-a75e-515a22510829","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-08T15:41:32Z,"wix:image://v1/c3c13c_92e2f70a3b8549b8bdf6cf0b0adeb47e~mv2.jpg/1%2063%20-%20Magical%20Zamelion%20tree.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos""]",,"Resource",,"{""I - The Origin of Chaos"":""Common""}","Reveal the top 5 cards from your galaxy. Then you gain 1 star for each Gaios creature revealed & you can add 1 of those creatures to your hand. Shuffle the remaining cards into your galaxy. If you don't reveal any Gaios creatures, kill every card in your hand & shuffle the revealed cards back into your galaxy.",,,
"Pointree","015343f7-f805-4573-a5c0-6e8e3f9467db","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:24Z,2022-04-08T15:41:24Z,"wix:image://v1/c3c13c_a3638cff875142a88fc5cfaa193cc1da~mv2.jpg/2%2054%20-%20Pointree.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Resource",,"{""II - Deep Space Discoveries"":""Common""}","Both players gain 2 points.",,,
"Weatherman Hailstoom","017c4bdc-ae85-4d49-a5d5-98ef23c68906","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:32Z,2022-04-08T15:41:32Z,"wix:image://v1/c3c13c_69692bbce05c4413aee1aa504910f105~mv2.jpg/3%2085%20-%20Weatherman%20Hailstoom.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Galactic Divide 1""]",,"Attachment",,"{""II - Galactic Divide 1"":""Common""}","Attach only to a weatherman creature. If it would be killed, kill this card instead. When this attached card is killed, add 1 galaxied weathermachine or weatherman to your hand which has 1 or 2 stars.",,,
"Emergency Escape Pod","01b70b4a-9bd9-4de5-b8d1-4563270a44eb","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:30Z,2022-04-08T15:41:30Z,"wix:image://v1/c3c13c_e7b9a8490cca4954a9133b96340aca87~mv2.jpg/2%2090%20-%20E%20Escape%20Pod.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""II - Deep Space Discoveries""]",,"Activator",,"{""II - Deep Space Discoveries"":""Common""}","When a creature on your planet is killed by an opponent's attack... Return that creature to the top of your galaxy.",,,
"Sindian","02547f9c-ec77-4781-b66f-61aeb916bc58","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-11-02T18:27:56Z,"wix:image://v1/c3c13c_89ee3e90de984b7ab834ee7cf516d470~mv2.jpg/1%2097%20-%20sindian.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""II - Deep Space Discoveries"",""III - Galactic Divide"",""IV - Planets United"",""V - Beyond Horizons""]",,"Planet","Sindian","{""III - Galactic Divide"":""Planet"",""V - Beyond Horizons"":""Planet"",""IV - Planets United"":""Planet"",""I - The Origin of Chaos"":""Planet"",""II - Deep Space Discoveries"":""Planet""}","Whilst there are 2 or more Sindian creatures on your planet, your opponent cannot attack the 1 with the lowest health.",,,
"Floating Rock with Non-Floating Rock on Top","03db0e01-0b8a-4d9f-ad34-24cd82da3045","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:28Z,2022-04-23T20:44:40Z,"wix:image://v1/c3c13c_abaf914bc6d64f7ebd12d3dda4df12bc~mv2.jpg/1%2016%20-%20FRWNFROT.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""I - The Origin of Chaos"",""Legends of the Cosmos""]",2,"Creature","Rokah","{""I - The Origin of Chaos"":""Common"",""Legends of the Cosmos"":""Common""}",,,10,200
"Mystical Relic - Rainbow Quill","03ef0203-e82e-4009-830f-0ff9a9bee912","824f301b-784a-4a21-979a-90cafa80cbf1",2022-04-08T15:41:34Z,2022-04-08T15:41:34Z,"wix:image://v1/c3c13c_3702d29034c2412f9dcb384d198c7948~mv2.jpg/3%2062%20-%20mystical%20relic%20golden%20quill.jpg#originWidth=825&originHeight=1125","/card-database-1/","[""III - Galactic Divide""]",,"Resource",,"{""III - Galactic Divide"":""Common""}","Both players choose 1 card in their hand and randomly select 1 card in their hand. The selected cards are killed, then both players draw 2 new cards.",,,
